Event_Title,Location,Capacity,Date,Catering,Entertainment,Price
Corporate,Kolkata,3374,2025-04-01,No,Yes,256444.77
Marriage,Bhubaneswar,1769,2024-10-03,No,No,150156.97
Birthday,Cuttack,4958,2024-11-02,Yes,Yes,296281.18
Birthday,Delhi,2085,2025-10-29,Yes,Yes,195906.08
Marriage,Hyderabad,2408,2025-12-06,Yes,Yes,235092.43
Marriage,Delhi,4811,2025-07-10,No,Yes,400762.35
Meetup,Delhi,4410,2025-08-07,No,No,325206.96
Marriage,Cuttack,134,2025-11-25,Yes,No,73682.17
Birthday,Pune,1145,2025-03-11,No,No,92659.42
Meetup,Ahmedabad,2740,2025-07-21,No,No,167800.22
Meetup,Bangalore,4531,2025-01-26,No,No,333911.88
Marriage,Hyderabad,731,2024-04-10,No,Yes,111306.14
Corporate,Bhubaneswar,923,2024-04-23,No,No,91963.04
Birthday,Cuttack,4751,2024-02-12,Yes,Yes,286317.39
Corporate,Kolkata,257,2025-03-04,No,Yes,68745.01
Birthday,Bhubaneswar,1265,2025-03-31,Yes,No,105902.3
Meetup,Pune,1198,2024-02-18,No,No,90918.59
Corporate,Mumbai,2046,2024-07-17,No,Yes,208055.18
Corporate,Pune,4032,2025-11-06,Yes,No,309095.09
Marriage,Bhubaneswar,2457,2024-12-09,Yes,No,202025.61
Birthday,Pune,2183,2025-06-21,No,No,159421.63
Birthday,Delhi,4529,2025-04-19,Yes,No,354841.71
Corporate,Bangalore,4788,2024-08-24,No,No,376715.57
Meetup,Chennai,3060,2024-03-22,Yes,Yes,226850.99
Marriage,Mumbai,1941,2025-02-13,Yes,No,211657.84
Birthday,Mumbai,1060,2024-02-07,No,No,100846.98
Corporate,Bangalore,4354,2024-04-23,Yes,Yes,373654.06
Marriage,Bhubaneswar,2526,2024-05-09,No,No,190690.38
Meetup,Mumbai,2593,2024-01-17,No,No,210608.72
Corporate,Pune,4670,2025-02-02,Yes,Yes,361196.36
Marriage,Delhi,2261,2025-03-07,Yes,Yes,237411.86
Marriage,Kolkata,3352,2025-03-29,Yes,No,267788.92
Meetup,Bangalore,496,2024-06-04,No,No,51328.64
Birthday,Mumbai,4887,2024-09-29,No,No,387755.98
Meetup,Pune,967,2024-05-03,Yes,No,92996.22
Meetup,Cuttack,4746,2025-01-04,Yes,Yes,281594.1
Corporate,Bangalore,459,2025-09-13,Yes,Yes,101598.04
Meetup,Hyderabad,231,2024-12-05,Yes,No,47849.99
Corporate,Bangalore,1316,2024-04-08,Yes,No,148983.17
Meetup,Chennai,4782,2025-12-23,No,Yes,315357.72
Meetup,Cuttack,1211,2024-11-14,Yes,Yes,104287.93
Meetup,Bangalore,4406,2025-08-12,No,Yes,336716.9
Meetup,Cuttack,2335,2024-02-08,No,No,133727.04
Marriage,Pune,3072,2024-05-24,No,No,243768.38
Corporate,Bhubaneswar,410,2024-12-19,No,Yes,75980.32
Birthday,Mumbai,1701,2024-04-14,No,Yes,160800.09
Marriage,Chennai,3746,2025-04-12,Yes,No,292315.56
Meetup,Bhubaneswar,2580,2024-11-04,Yes,Yes,185671.93
Marriage,Kolkata,2733,2024-08-26,No,Yes,227093.27
Corporate,Bhubaneswar,633,2024-04-26,No,Yes,89424.6
Meetup,Cuttack,1953,2024-08-20,No,No,114344.42
Corporate,Bangalore,2118,2025-09-13,Yes,No,205711.56
Meetup,Chennai,953,2025-09-30,No,No,74772.11
Meetup,Bangalore,2818,2025-02-23,Yes,Yes,241818.78
Marriage,Ahmedabad,2834,2024-03-04,Yes,No,223422.39
Corporate,Kolkata,2269,2025-01-16,No,Yes,189695.08
Meetup,Ahmedabad,4479,2024-07-11,No,Yes,275781.81
Corporate,Pune,4472,2025-05-23,No,Yes,333641.23
Birthday,Cuttack,4959,2025-09-02,Yes,No,284858.88
Birthday,Pune,4629,2024-06-17,No,Yes,324033.35
Marriage,Cuttack,3958,2025-10-08,No,No,250427.86
Corporate,Pune,625,2024-06-25,No,No,81703.91
Corporate,Bhubaneswar,2986,2024-03-28,No,Yes,218952.73
Meetup,Kolkata,3111,2025-10-12,Yes,No,218295.5
Corporate,Cuttack,4701,2025-12-02,No,No,277537.37
Birthday,Bhubaneswar,3682,2024-06-14,Yes,No,240392.16
Meetup,Delhi,2668,2024-11-16,No,No,203350.84
Birthday,Mumbai,4890,2025-05-20,No,No,388562.57
Meetup,Mumbai,1245,2025-03-10,Yes,No,126253.23
Corporate,Delhi,54,2025-01-16,Yes,No,59792.14
Marriage,Kolkata,1751,2025-07-12,No,No,156515.01
Birthday,Ahmedabad,3332,2024-01-30,Yes,Yes,231741.54
Birthday,Pune,2148,2024-06-15,Yes,No,170927.9
Meetup,Bangalore,362,2025-08-30,Yes,Yes,69142.62
Birthday,Kolkata,4508,2025-09-06,No,No,292169.98
Marriage,Pune,1334,2024-07-11,No,No,135164.47
Meetup,Bangalore,3685,2024-09-07,Yes,No,290316.6
Marriage,Bhubaneswar,2667,2024-07-17,Yes,No,213837.84
Birthday,Pune,1619,2024-08-01,Yes,Yes,150635.91
Birthday,Ahmedabad,4693,2025-07-20,Yes,No,294730.22
Corporate,Kolkata,1765,2025-12-28,Yes,No,162950.66
Meetup,Mumbai,1002,2025-07-28,Yes,Yes,118668.27
Birthday,Mumbai,3351,2025-01-14,No,Yes,286288.49
Meetup,Mumbai,2836,2024-01-05,Yes,No,245458.46
Meetup,Bangalore,3554,2025-08-15,No,Yes,278121.73
Marriage,Bangalore,3417,2024-12-30,No,No,290418.45
Corporate,Kolkata,4753,2024-10-05,No,No,326754.67
Birthday,Delhi,4483,2025-01-28,No,No,335278.73
Corporate,Mumbai,2224,2025-10-03,Yes,No,223369.65
Meetup,Cuttack,3767,2025-12-14,Yes,No,220242.76
Marriage,Ahmedabad,1586,2024-11-19,No,No,138694.98
Marriage,Bhubaneswar,4456,2024-03-07,Yes,Yes,324059.65
Meetup,Cuttack,2551,2025-06-27,No,Yes,155884.07
Marriage,Chennai,1162,2024-08-31,No,Yes,133581.31
Marriage,Bangalore,1183,2025-10-11,Yes,No,149341.39
Birthday,Pune,965,2025-08-12,Yes,Yes,109626.24
Marriage,Mumbai,1308,2024-11-13,Yes,No,164484.2
Birthday,Cuttack,1055,2024-12-31,Yes,No,89734.98
Meetup,Hyderabad,2516,2025-07-22,Yes,No,195803.7
Marriage,Mumbai,2068,2024-10-03,No,No,206763.45
Marriage,Cuttack,76,2025-04-04,No,No,56738.39
Marriage,Bangalore,4953,2024-05-01,No,No,398244.52
Meetup,Chennai,2906,2025-03-04,Yes,Yes,218981.41
Marriage,Chennai,3328,2025-01-16,Yes,No,267286.23
Marriage,Cuttack,3492,2025-12-04,No,Yes,238691.56
Corporate,Cuttack,1496,2024-05-17,No,Yes,127934.31
Corporate,Bangalore,4784,2024-08-07,No,No,376397.9
Marriage,Bhubaneswar,4846,2025-06-10,No,No,318839.57
Corporate,Pune,3431,2025-08-27,No,Yes,267643.23
Meetup,Kolkata,687,2025-04-09,No,Yes,70751.19
Birthday,Bhubaneswar,1838,2025-03-07,No,Yes,134424.33
Corporate,Cuttack,4574,2024-11-16,No,Yes,282029.67
Corporate,Delhi,4898,2025-06-07,No,No,384845.92
Meetup,Cuttack,804,2024-11-03,No,No,57699.6
Birthday,Bangalore,1672,2024-02-07,No,Yes,151758.69
Meetup,Bangalore,2396,2025-10-27,Yes,Yes,211435.72
Corporate,Pune,713,2025-05-24,No,No,87013.36
Marriage,Delhi,4829,2024-12-24,Yes,Yes,417536.86
Meetup,Kolkata,2617,2024-12-05,Yes,No,189737.12
Marriage,Mumbai,961,2024-01-14,No,Yes,135715.65
Birthday,Bangalore,3721,2024-10-12,Yes,Yes,308973.19
Meetup,Pune,1285,2025-01-04,Yes,Yes,125262.06
Meetup,Bhubaneswar,923,2025-01-02,Yes,Yes,95227.57
Corporate,Hyderabad,1366,2025-07-19,Yes,Yes,156918.03
Marriage,Hyderabad,4289,2024-10-02,No,No,331630.85
Corporate,Bhubaneswar,924,2024-04-12,No,Yes,104966.84
Corporate,Ahmedabad,2981,2024-08-21,Yes,Yes,233098.63
Marriage,Mumbai,2442,2025-06-16,Yes,Yes,261246.89
Corporate,Mumbai,3245,2024-07-23,Yes,Yes,311618.75
Corporate,Hyderabad,455,2025-05-01,Yes,Yes,97692.49
Meetup,Bhubaneswar,2987,2025-04-10,Yes,Yes,207835.24
Birthday,Hyderabad,3423,2024-05-07,No,Yes,256769.9
Meetup,Cuttack,2824,2025-10-28,Yes,No,173977.04
Marriage,Hyderabad,3322,2024-05-03,No,Yes,280157.18
Birthday,Bhubaneswar,1839,2024-01-03,Yes,Yes,149501.66
Birthday,Hyderabad,3456,2025-09-22,No,Yes,258694.74
Marriage,Mumbai,2008,2025-12-06,No,No,202315.15
Birthday,Cuttack,1879,2024-11-07,Yes,No,130770.59
Meetup,Hyderabad,2245,2025-04-24,Yes,No,177144.15
Birthday,Chennai,1207,2025-05-13,No,Yes,105688.28
Meetup,Bhubaneswar,724,2025-06-02,No,Yes,68865.75
Meetup,Pune,1220,2024-04-19,Yes,No,107630.56
Corporate,Pune,4159,2024-09-17,No,Yes,313379.56
Corporate,Kolkata,3923,2024-04-03,Yes,No,292585.14
Birthday,Bhubaneswar,1484,2024-01-24,Yes,No,118531.2
Corporate,Kolkata,4646,2025-08-06,No,Yes,332623.39
Marriage,Pune,3864,2025-06-16,No,Yes,305671.4
Corporate,Bhubaneswar,3357,2024-09-26,Yes,No,241974.16
Birthday,Delhi,3560,2024-09-05,No,No,270864.57
Meetup,Cuttack,2142,2025-09-10,Yes,Yes,151698.71
Marriage,Chennai,2279,2025-06-11,Yes,No,203925.94
Birthday,Mumbai,4666,2024-11-12,Yes,No,386614.68
Birthday,Ahmedabad,529,2024-07-10,Yes,No,66022.53
Birthday,Hyderabad,2071,2024-01-13,Yes,Yes,184594.72
Birthday,Kolkata,3878,2025-09-15,Yes,Yes,281586.76
Birthday,Mumbai,4144,2024-10-01,Yes,Yes,360753.37
Marriage,Bhubaneswar,3040,2024-08-30,Yes,No,233858.39
Meetup,Ahmedabad,2700,2025-03-31,Yes,Yes,192134.92
Marriage,Pune,3157,2024-03-27,No,Yes,261884.07
Marriage,Bangalore,840,2025-07-22,No,Yes,122373.52
Meetup,Chennai,4055,2024-12-21,No,No,260659.19
Marriage,Ahmedabad,797,2025-07-29,No,Yes,108209.3
Birthday,Bangalore,3661,2024-11-29,No,No,278677.47
Marriage,Bangalore,1189,2024-03-09,No,Yes,146734.36
Corporate,Kolkata,4151,2025-01-07,Yes,Yes,318888.83
Marriage,Pune,3485,2025-06-28,No,Yes,281027.57
Birthday,Kolkata,257,2025-02-21,No,No,36643.95
Corporate,Ahmedabad,3362,2025-12-05,No,No,226322.16
Meetup,Bhubaneswar,3807,2024-08-11,Yes,No,241381.78
Meetup,Kolkata,724,2024-12-07,Yes,No,75890.87
Birthday,Bangalore,3177,2025-01-27,No,Yes,255496.96
Corporate,Hyderabad,2975,2024-10-14,Yes,Yes,262388.14
Birthday,Hyderabad,4161,2024-05-17,Yes,No,306720.36
Meetup,Chennai,77,2025-07-04,No,Yes,34193.31
Corporate,Bhubaneswar,1669,2025-05-24,Yes,Yes,160043.48
Corporate,Cuttack,4914,2024-10-23,Yes,Yes,314852.97
Birthday,Chennai,758,2024-01-15,Yes,No,82619.18
Corporate,Bangalore,141,2024-04-27,No,Yes,63596.97
Meetup,Chennai,4642,2024-04-02,No,No,295523.63
Marriage,Bangalore,504,2024-09-02,Yes,Yes,113346.82
Corporate,Cuttack,1421,2024-10-01,No,No,112130.59
Meetup,Ahmedabad,2912,2024-01-13,No,No,177886.08
Birthday,Bhubaneswar,637,2025-05-06,Yes,No,71964.17
Corporate,Kolkata,278,2025-05-27,Yes,No,74171.63
Birthday,Kolkata,1347,2024-09-06,No,Yes,113917.83
Marriage,Bangalore,4050,2025-07-17,No,Yes,347019.05
Marriage,Mumbai,2786,2025-01-21,Yes,No,276843.71
Birthday,Bhubaneswar,3538,2025-12-22,No,No,217148.06
Meetup,Delhi,3627,2025-02-08,No,Yes,283709.19
Meetup,Pune,1196,2024-06-20,Yes,No,107075.69
Birthday,Cuttack,3856,2024-02-23,Yes,No,230127.15
Birthday,Pune,128,2025-06-05,No,No,30023.31
Corporate,Delhi,3208,2025-03-11,No,Yes,277933.99
Birthday,Cuttack,4105,2024-04-23,No,Yes,239901.96
Meetup,Pune,4125,2024-02-15,No,No,274429.0
Birthday,Pune,3164,2025-10-05,Yes,No,234082.76
Marriage,Kolkata,2000,2024-11-22,No,No,171422.95
Meetup,Cuttack,2156,2025-04-01,Yes,Yes,151782.49
Meetup,Mumbai,1729,2025-07-09,No,No,146302.5
Corporate,Hyderabad,598,2024-02-27,No,Yes,92381.48
Birthday,Kolkata,681,2025-06-09,No,Yes,75370.8
Meetup,Kolkata,575,2025-06-16,No,No,50598.85
Corporate,Mumbai,2095,2024-09-21,Yes,No,214814.73
Marriage,Mumbai,2944,2024-01-05,No,Yes,284661.1
Corporate,Bangalore,1153,2024-08-09,Yes,Yes,150017.24
Birthday,Mumbai,439,2024-06-07,Yes,No,69039.16
Birthday,Bhubaneswar,3844,2025-10-10,Yes,Yes,259674.38
Birthday,Bangalore,216,2025-01-07,Yes,Yes,65110.81
Corporate,Mumbai,2608,2025-07-02,No,Yes,250479.41
Marriage,Hyderabad,1896,2024-03-29,No,Yes,186308.87
Corporate,Ahmedabad,1377,2025-02-12,No,Yes,128959.12
Marriage,Chennai,3330,2025-10-31,No,Yes,263848.12
Corporate,Bhubaneswar,1963,2024-07-18,No,No,149776.77
Marriage,Bangalore,599,2025-08-04,Yes,Yes,121162.97
Corporate,Delhi,4943,2025-08-21,No,Yes,400671.77
Marriage,Delhi,4487,2025-10-23,Yes,Yes,393099.42
Birthday,Hyderabad,2453,2025-03-22,Yes,Yes,209349.16
Birthday,Pune,2193,2025-03-13,Yes,No,173917.36
Corporate,Bangalore,1048,2024-09-25,No,No,115434.77
Meetup,Ahmedabad,128,2025-03-18,No,Yes,36766.11
Birthday,Kolkata,4445,2025-07-31,Yes,Yes,316012.32
Birthday,Bangalore,3904,2025-02-21,No,No,294806.97
Birthday,Hyderabad,1043,2025-03-09,Yes,Yes,116607.56
Corporate,Kolkata,3646,2025-07-22,No,No,260545.39
Meetup,Delhi,4001,2025-02-09,Yes,No,312165.48
Corporate,Hyderabad,2556,2025-04-25,No,Yes,219669.05
Corporate,Cuttack,3741,2024-02-26,No,No,229211.04
Meetup,Cuttack,4934,2024-02-11,Yes,Yes,290229.02
Corporate,Bangalore,2661,2025-03-13,Yes,No,242457.68
Meetup,Pune,2763,2025-04-28,No,No,189817.74
Marriage,Ahmedabad,3061,2025-11-12,No,No,221169.34
Meetup,Chennai,4075,2024-08-21,No,No,261401.91
Marriage,Ahmedabad,3638,2025-08-02,Yes,No,268085.99
Marriage,Bangalore,3453,2024-11-29,Yes,Yes,321103.69
Birthday,Chennai,427,2025-08-14,Yes,No,63402.44
Corporate,Pune,4214,2025-12-15,No,No,305518.8
Meetup,Bhubaneswar,2664,2024-09-01,Yes,No,179404.83
Corporate,Pune,3749,2025-04-20,Yes,Yes,302831.91
Birthday,Cuttack,4471,2024-02-12,Yes,No,261397.08
Meetup,Kolkata,1302,2024-12-05,No,Yes,108007.81
Marriage,Pune,879,2024-11-25,No,No,106205.59
Marriage,Delhi,4691,2025-02-18,No,Yes,391856.11
Corporate,Chennai,2259,2025-05-10,No,No,178273.37
Birthday,Kolkata,3434,2025-01-04,Yes,No,242683.01
Meetup,Mumbai,1281,2025-03-25,Yes,No,128924.71
Corporate,Pune,720,2025-03-13,No,No,87499.98
Birthday,Ahmedabad,788,2024-08-18,Yes,Yes,91820.8
Marriage,Cuttack,925,2025-09-07,Yes,Yes,124676.59
Meetup,Bangalore,378,2024-03-17,No,Yes,55695.29
Corporate,Hyderabad,2001,2025-01-17,No,Yes,183841.95
Corporate,Cuttack,104,2024-05-16,No,Yes,59392.03
Corporate,Chennai,1771,2024-10-02,No,No,148140.9
Meetup,Delhi,330,2024-01-23,Yes,Yes,67288.13
Birthday,Cuttack,1934,2024-07-18,Yes,No,133954.2
Corporate,Hyderabad,1893,2024-11-16,Yes,No,180162.08
Birthday,Ahmedabad,843,2024-03-30,No,No,69075.47
Corporate,Chennai,707,2025-09-24,Yes,No,99202.47
Marriage,Ahmedabad,2338,2024-07-12,No,Yes,193214.77
Marriage,Cuttack,647,2025-06-23,No,No,84622.18
Meetup,Chennai,1772,2024-02-28,Yes,No,138690.93
Meetup,Bangalore,846,2025-12-17,Yes,No,91057.17
Corporate,Pune,1732,2024-08-05,No,No,151016.87
Marriage,Hyderabad,1695,2025-08-03,No,Yes,174495.42
Marriage,Hyderabad,2272,2025-02-01,No,No,199004.86
Marriage,Ahmedabad,506,2024-01-09,No,Yes,91227.49
Marriage,Mumbai,2493,2025-05-24,No,Yes,251437.37
Corporate,Mumbai,4269,2024-12-27,No,No,361560.52
Birthday,Delhi,4044,2025-11-24,Yes,Yes,332002.51
Marriage,Bhubaneswar,1471,2024-06-14,No,No,132268.27
Meetup,Mumbai,4504,2024-12-09,Yes,Yes,382182.11
Marriage,Kolkata,648,2024-03-21,Yes,No,105347.7
Birthday,Delhi,2315,2024-04-26,Yes,No,198894.33
Marriage,Ahmedabad,1590,2025-03-20,No,Yes,151262.37
Corporate,Kolkata,3026,2025-02-17,No,Yes,235137.67
Meetup,Ahmedabad,3417,2024-03-23,No,No,205502.44
Meetup,Bangalore,3474,2025-04-11,No,Yes,272193.43
Meetup,Bangalore,1541,2025-05-13,Yes,Yes,150890.1
Birthday,Ahmedabad,1925,2025-08-24,Yes,Yes,154050.59
Meetup,Chennai,3691,2024-01-18,No,No,237499.88
Birthday,Hyderabad,3555,2024-10-03,No,Yes,265830.82
Corporate,Ahmedabad,3276,2025-01-20,No,Yes,233908.19
Marriage,Kolkata,1252,2025-02-12,Yes,No,141945.79
Birthday,Chennai,2980,2025-02-14,No,No,200820.6
Meetup,Hyderabad,1541,2024-03-18,No,Yes,129405.03
Birthday,Pune,4835,2025-05-31,Yes,No,338979.29
Corporate,Bangalore,1297,2024-01-30,Yes,Yes,159461.55
Corporate,Ahmedabad,2997,2024-02-29,Yes,No,222775.1
Meetup,Pune,3340,2025-05-03,Yes,Yes,253321.67
Birthday,Mumbai,2498,2025-10-05,Yes,No,224536.66
Birthday,Chennai,365,2025-12-07,No,Yes,55973.47
Corporate,Kolkata,3808,2024-04-22,No,No,271244.08
Meetup,Delhi,655,2024-09-15,No,No,61857.27
Meetup,Bangalore,1185,2025-04-04,No,No,99721.88
Birthday,Bhubaneswar,3707,2024-10-28,No,Yes,238617.01
Meetup,Kolkata,4343,2025-11-17,Yes,Yes,304310.61
Meetup,Bangalore,306,2025-06-25,Yes,Yes,65081.09
Meetup,Kolkata,3142,2025-11-19,No,No,206167.07
Birthday,Cuttack,4678,2025-01-23,Yes,No,270814.7
Birthday,Cuttack,840,2025-07-28,No,Yes,75360.43
Meetup,Bangalore,3179,2024-04-27,Yes,No,253607.44
Marriage,Pune,4844,2025-08-25,No,No,354421.26
Corporate,Chennai,264,2025-08-24,No,Yes,68977.51
Birthday,Hyderabad,3114,2024-01-16,Yes,No,239314.08
Meetup,Kolkata,2951,2024-08-05,Yes,Yes,220786.98
Meetup,Cuttack,3729,2025-12-14,Yes,Yes,231341.19
Birthday,Chennai,3600,2024-11-12,No,No,237040.78
Corporate,Bhubaneswar,1701,2025-03-24,Yes,No,150390.91
Meetup,Mumbai,2579,2024-10-19,Yes,No,224531.18
Marriage,Ahmedabad,819,2025-06-18,No,No,97516.73
Marriage,Delhi,2181,2025-01-08,Yes,Yes,232137.0
Corporate,Delhi,4467,2024-04-20,Yes,Yes,382589.47
Marriage,Cuttack,2435,2025-06-11,No,No,174541.47
Meetup,Ahmedabad,3771,2024-12-25,No,No,224129.22
Meetup,Bangalore,4771,2024-06-11,Yes,Yes,378193.2
Meetup,Cuttack,1461,2025-09-21,No,No,89891.26
Meetup,Chennai,323,2024-11-01,No,Yes,47986.32
Corporate,Ahmedabad,3046,2024-12-02,No,No,210209.11
Meetup,Kolkata,1510,2024-10-19,Yes,No,123474.78
Birthday,Pune,1334,2024-01-20,No,Yes,117476.61
Meetup,Hyderabad,158,2025-02-28,Yes,Yes,54726.75
Marriage,Delhi,2526,2024-06-21,No,Yes,241501.92
Corporate,Chennai,3125,2025-08-29,Yes,Yes,257018.8
Marriage,Kolkata,2022,2024-06-01,No,Yes,185194.44
Birthday,Bhubaneswar,4165,2025-10-29,Yes,No,266355.24
Marriage,Hyderabad,1606,2025-04-28,Yes,No,171684.63
Birthday,Cuttack,644,2025-10-07,No,Yes,67081.23
Meetup,Mumbai,3298,2025-07-23,No,Yes,276454.54
Corporate,Ahmedabad,653,2025-02-06,No,No,77441.76
Birthday,Hyderabad,2850,2024-12-07,Yes,Yes,233868.25
Meetup,Chennai,2517,2025-05-13,No,Yes,180790.51
Marriage,Hyderabad,2371,2024-06-21,No,Yes,218679.79
Corporate,Bangalore,4910,2025-10-20,Yes,Yes,412719.21
Corporate,Mumbai,3399,2025-12-31,No,Yes,308089.57
Marriage,Pune,2991,2025-03-20,Yes,Yes,265048.37
Birthday,Bhubaneswar,1289,2025-01-27,Yes,Yes,120737.75
Marriage,Mumbai,4908,2025-03-03,Yes,Yes,446553.14
Corporate,Mumbai,935,2024-09-10,Yes,No,126310.34
Corporate,Delhi,406,2024-12-26,Yes,Yes,97175.18
Birthday,Cuttack,3242,2025-02-07,Yes,No,199319.97
Corporate,Cuttack,2315,2025-08-19,No,No,158368.22
Meetup,Delhi,4908,2025-07-22,Yes,Yes,386813.36
Marriage,Bhubaneswar,2579,2024-10-08,Yes,Yes,221451.53
Marriage,Delhi,3733,2025-09-20,No,No,312612.9
Marriage,Delhi,2453,2024-08-07,No,Yes,235112.74
Marriage,Ahmedabad,744,2024-11-20,Yes,Yes,119393.49
Meetup,Cuttack,4959,2024-04-04,No,No,265317.59
Marriage,Kolkata,3550,2025-02-13,No,No,265205.66
Corporate,Chennai,4346,2024-11-04,Yes,No,317513.84
Meetup,Hyderabad,213,2025-10-09,No,Yes,43509.95
Meetup,Mumbai,2365,2024-06-05,No,No,193965.36
Marriage,Ahmedabad,2457,2024-09-03,Yes,Yes,213396.75
Meetup,Kolkata,429,2024-10-11,No,Yes,54108.93
Meetup,Kolkata,2834,2024-04-03,No,Yes,198980.01
Birthday,Ahmedabad,921,2024-04-19,Yes,Yes,100592.71
Marriage,Cuttack,2710,2024-07-06,Yes,Yes,214145.17
Meetup,Bhubaneswar,2928,2024-10-03,No,Yes,190664.51
Meetup,Chennai,3690,2025-06-27,Yes,Yes,265681.43
Corporate,Kolkata,3199,2025-07-20,No,Yes,246782.6
Meetup,Cuttack,3076,2025-04-08,Yes,No,185768.46
Marriage,Chennai,2534,2024-01-18,Yes,Yes,230045.2
Birthday,Ahmedabad,1452,2024-04-24,No,No,101184.61
Meetup,Mumbai,3471,2024-12-28,Yes,No,292493.49
Meetup,Mumbai,1811,2025-11-13,Yes,No,167263.09
Meetup,Mumbai,3609,2024-06-21,Yes,Yes,315640.46
Birthday,Bhubaneswar,1863,2025-02-23,No,No,123958.0
Meetup,Chennai,64,2024-02-22,No,Yes,33069.61
Corporate,Ahmedabad,2288,2025-12-15,No,Yes,180336.81
Corporate,Bangalore,4341,2025-12-02,No,No,346686.6
Birthday,Kolkata,4110,2024-04-21,No,No,269018.79
Birthday,Chennai,2153,2024-12-15,Yes,No,166374.98
Marriage,Bangalore,952,2025-11-14,No,No,118274.99
Birthday,Bangalore,3214,2025-04-06,No,No,246379.41
Meetup,Chennai,776,2025-01-10,No,Yes,75993.59
Marriage,Mumbai,1445,2024-07-04,No,No,160710.56
Corporate,Ahmedabad,1770,2025-01-06,Yes,No,154438.82
Birthday,Ahmedabad,1495,2024-11-28,No,No,104438.74
Meetup,Hyderabad,3703,2024-01-27,No,No,258226.65
Birthday,Mumbai,4398,2025-01-16,No,No,351396.49
Birthday,Cuttack,684,2024-10-02,Yes,Yes,84092.83
Marriage,Pune,2050,2025-10-22,Yes,Yes,206319.64
Meetup,Hyderabad,231,2024-01-21,No,No,31750.56
Birthday,Ahmedabad,1980,2025-04-15,No,No,131250.46
Meetup,Hyderabad,1351,2024-11-15,Yes,No,120038.17
Birthday,Kolkata,228,2024-06-24,Yes,Yes,62977.12
Marriage,Delhi,461,2024-01-08,No,Yes,96518.47
Corporate,Pune,2855,2024-07-05,Yes,Yes,246916.15
Meetup,Kolkata,2621,2025-06-12,No,Yes,186354.97
Meetup,Cuttack,2788,2025-06-21,Yes,No,172292.07
Meetup,Ahmedabad,885,2024-03-26,Yes,No,81334.85
Corporate,Cuttack,4268,2024-10-04,No,No,255410.57
Corporate,Cuttack,3406,2024-11-11,Yes,Yes,239820.33
Marriage,Cuttack,3019,2025-07-19,Yes,No,217607.46
Birthday,Mumbai,2776,2024-12-26,Yes,No,244339.67
Corporate,Chennai,1636,2025-12-24,Yes,No,155851.45
Birthday,Ahmedabad,2805,2025-07-11,Yes,No,191145.53
Birthday,Mumbai,4237,2025-08-15,Yes,No,355273.39
Marriage,Bhubaneswar,2668,2025-06-18,No,No,199209.16
Meetup,Pune,2413,2025-12-14,Yes,No,182356.47
Meetup,Bhubaneswar,3108,2024-10-05,Yes,Yes,215843.99
Meetup,Bhubaneswar,3808,2024-06-19,Yes,Yes,253259.43
Marriage,Pune,2751,2024-10-28,No,Yes,234952.18
Corporate,Mumbai,1806,2025-02-09,No,No,177804.78
Marriage,Delhi,3770,2024-12-14,No,Yes,327782.8
Meetup,Bangalore,3267,2024-03-27,Yes,Yes,273541.73
Corporate,Mumbai,3680,2024-10-30,No,No,318193.67
Meetup,Bhubaneswar,1851,2024-09-08,No,Yes,130092.37
Meetup,Hyderabad,1232,2025-05-26,No,Yes,108903.78
Meetup,Bhubaneswar,1122,2024-02-22,No,Yes,90729.46
Birthday,Bhubaneswar,4730,2024-10-06,Yes,Yes,309698.39
Meetup,Mumbai,3094,2025-10-02,No,No,248784.42
Marriage,Bangalore,3676,2025-03-23,No,Yes,321512.52
Meetup,Mumbai,2458,2025-03-16,No,No,201949.79
Birthday,Ahmedabad,3811,2025-07-12,Yes,Yes,259164.09
Birthday,Mumbai,285,2025-02-18,No,No,43167.96
Meetup,Chennai,4067,2025-06-02,No,Yes,273868.49
Marriage,Kolkata,4389,2025-02-20,No,No,314909.93
Corporate,Ahmedabad,2038,2025-01-09,Yes,No,168117.79
Marriage,Hyderabad,4867,2025-09-22,No,No,368387.27
Corporate,Ahmedabad,4967,2025-05-15,Yes,No,331176.94
Meetup,Chennai,1757,2025-04-29,No,No,121986.97
Birthday,Cuttack,2260,2025-03-27,Yes,No,150993.46
Birthday,Chennai,1020,2024-01-09,No,No,82826.1
Marriage,Kolkata,1706,2025-12-01,No,Yes,166652.94
Birthday,Kolkata,4619,2025-08-11,No,No,299443.39
Meetup,Delhi,2362,2024-04-12,No,Yes,194314.05
Birthday,Pune,1897,2024-03-28,Yes,No,156000.92
Corporate,Kolkata,733,2025-06-21,Yes,No,100488.5
Marriage,Bhubaneswar,3678,2025-10-24,No,Yes,265614.86
Corporate,Delhi,3909,2024-05-07,Yes,Yes,342278.14
Meetup,Mumbai,4790,2024-12-12,No,Yes,387538.32
Birthday,Delhi,1640,2024-07-22,No,Yes,148671.69
Birthday,Ahmedabad,4930,2024-08-24,No,Yes,305327.89
Meetup,Kolkata,2333,2024-01-24,Yes,Yes,184770.5
Meetup,Ahmedabad,3234,2024-04-04,Yes,No,209470.29
Birthday,Bhubaneswar,419,2024-08-14,Yes,No,60520.7
Corporate,Delhi,4902,2024-04-30,No,No,384585.54
Marriage,Kolkata,793,2024-04-01,No,Yes,111982.44
